,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,punta arenas,40,CL,1579573328,67,-53.15,-70.92,57.2,12.75
1,vaini,20,TO,1579573329,66,-21.2,-175.2,84.2,12.75
2,provideniya,75,RU,1579573330,71,64.38,-173.3,3.2,4.47
3,katsuura,20,JP,1579573332,40,35.13,140.3,57.99,24.16
4,hamilton,90,US,1579573333,68,39.18,-84.53,26.01,4.7
5,ushuaia,75,AR,1579573334,76,-54.8,-68.3,50.0,4.7
6,lokoja,30,NG,1579573335,35,7.8,6.74,74.05,0.83
7,bredasdorp,100,ZA,1579573296,82,-34.53,20.04,66.2,10.29
8,cabedelo,40,BR,1579573337,83,-6.98,-34.83,78.8,4.7
9,goderich,99,CA,1579573326,79,43.75,-81.72,28.99,1.99
10,lompoc,90,US,1579573329,93,34.64,-120.46,57.2,1.81
11,danilov,90,RU,1579573340,94,58.19,40.17,33.8,15.66
12,nizhneyansk,20,HK,1579573315,64,22.29,114.16,69.8,18.34
13,victoria,100,PF,1579573343,81,-22.43,-151.33,79.77,14.47
14,moerai,0,ZA,1579573189,88,-33.93,18.42,68.0,2.24
15,cape town,100,NZ,1579573300,64,-46.19,168.86,73.45,3.47
16,mataura,40,AU,1579573346,60,-28.77,114.6,75.2,23.04
17,geraldton,1,US,1579573347,65,29.95,-91.75,43.0,6.93
18,iberia,0,MX,1579573348,72,16.7,-99.0,83.16,3.76
19,cuautepec,92,RU,1579573312,89,73.51,80.55,-20.63,22.84
20,dikson,1,US,1579573350,45,30.65,-91.16,44.01,6.93
21,artyk,100,PF,1579573289,78,-23.12,-134.97,78.3,10.09
22,zachary,0,MV,1579573352,79,-0.6,73.08,83.14,11.18
23,rikitea,40,AU,1579573353,62,-21.15,149.2,90.0,10.29
24,hithadhoo,98,RU,1579573355,91,52.98,116.92,-5.96,2.68
25,mackay,40,AU,1579573248,78,-42.88,147.33,72.0,14.99
26,bukachacha,75,MU,1579573357,88,-20.52,57.52,80.01,5.73
27,hobart,75,MU,1579573333,88,-20.34,57.76,80.01,10.71
28,souillac,43,EC,1579573359,65,-0.74,-90.35,77.0,3.0
29,bambous virieux,100,IS,1579573360,63,64.25,-15.21,40.59,42.93
30,puerto ayora,0,CL,1579573361,74,-30.6,-71.2,58.75,1.39
31,hofn,100,RU,1579573362,75,66.0,111.5,-14.8,6.71
32,ovalle,100,AR,1579573323,74,-28.47,-65.79,68.0,1.99
33,aykhal,40,AU,1579573364,37,-34.58,150.86,87.01,10.29
34,catamarca,90,CA,1579573365,77,49.78,-74.85,-0.4,11.41
35,flinders,58,GN,1579573367,38,8.68,-8.63,67.14,2.37
36,chapais,20,OM,1579573329,56,17.02,54.09,68.0,6.93
37,beyla,63,PG,1579573369,79,-2.02,147.27,82.99,13.78
38,salalah,100,RU,1579573354,97,69.7,170.31,-15.47,5.88
39,lorengau,0,IN,1579573371,63,17.48,73.19,76.66,6.26
40,pevek,67,PF,1579573306,76,-9.8,-139.03,81.05,13.22
41,guhagar,75,PE,1579573373,83,-12.04,-77.03,73.4,10.29
42,atuona,0,IN,1579573374,58,17.18,77.28,73.04,12.68
43,lima,100,KI,1579573300,65,3.07,172.79,84.96,3.33
44,sedam,42,CV,1579573376,78,14.9,-24.5,68.76,2.13
45,butaritari,98,TL,1579573377,50,-8.93,125.41,83.41,4.27
46,sao filipe,0,MX,1579573379,72,23.38,-105.38,56.05,4.92
47,airai,90,AR,1579573123,93,-38.0,-57.56,64.4,14.99
48,karaul,32,PH,1579573321,73,11.0,122.67,77.74,14.85
49,tocantinopolis,75,PT,1579573382,87,33.08,-16.33,57.2,9.17
50,pueblo nuevo,100,BR,1579573383,88,-18.59,-48.7,68.0,3.36
51,mar del plata,99,RU,1579573384,99,65.82,87.98,-36.98,3.06
52,dingle,100,BR,1579573154,84,-17.71,-39.25,79.74,12.41
53,camacha,67,AU,1579573298,38,-33.65,115.33,78.01,19.22
54,tupaciguara,20,CA,1579573312,75,65.28,-126.83,-20.2,4.7
55,turukhansk,0,CN,1579573389,66,32.39,120.56,57.0,13.73
56,taolanaro,100,CA,1579573340,89,48.65,-53.11,21.0,8.01
57,caravelas,0,PH,1579573391,75,16.29,119.81,78.37,13.13
58,busselton,90,CA,1579573392,84,60.82,-115.8,8.6,5.82
59,norman wells,40,BR,1579573320,85,-22.97,-42.03,74.48,4.27
60,rucheng,40,AU,1579573394,52,-14.47,132.27,89.6,20.8
61,bonavista,75,ZA,1579573395,77,-33.92,25.57,68.0,10.29
62,catuday,100,TR,1579573396,77,41.77,34.87,41.5,24.25
63,hay river,100,CN,1579573397,95,47.87,88.12,4.77,2.62
64,arraial do cabo,90,US,1579573398,88,22.08,-159.32,78.8,10.29
65,katherine,100,PT,1579573399,80,38.52,-28.7,56.19,19.35
66,port elizabeth,90,US,1579573321,85,42.1,-79.24,24.8,5.82
67,sinop,21,PF,1579573402,74,-16.48,-151.75,81.95,9.57
68,altay,40,AU,1579573403,47,-33.87,121.9,75.2,23.04
69,kapaa,40,AU,1579573268,40,-42.78,147.06,72.0,14.99
70,ribeira grande,20,GD,1579573405,83,12.06,-61.75,78.8,11.41
71,jamestown,100,RU,1579573406,87,69.38,178.42,-6.43,12.77
72,faanui,1,US,1579573407,86,34.42,-79.37,32.0,4.7
73,esperance,100,ZA,1579573304,90,-33.59,26.89,63.0,1.99
74,new norfolk,92,GL,1579573409,57,72.79,-56.15,-2.81,10.16
75,saint-georges,1,US,1579573303,34,41.37,-73.41,26.01,3.36
76,leningradskiy,20,JP,1579573411,46,31.42,130.32,50.0,9.17
77,dillon,75,CA,1579573311,76,62.46,-114.35,-7.01,4.7
78,port alfred,55,RU,1579573414,91,69.3,139.9,-24.54,4.97
79,upernavik,0,CL,1579573415,50,-33.73,-70.75,75.2,6.93
80,bethel,1,US,1579573416,67,57.79,-152.41,21.2,8.05
81,kaseda,20,MY,1579573332,74,5.41,100.34,84.2,4.7
82,yellowknife,21,PF,1579573418,74,-16.52,-151.75,81.95,9.57
83,deputatskiy,20,RU,1579573419,75,64.75,177.48,-16.01,2.24
84,buin,100,RU,1579573420,97,51.41,57.59,19.36,8.61
85,kodiak,1,US,1579573245,48,42.6,-73.97,17.6,5.82
86,georgetown,1,CA,1579573422,71,51.26,-80.61,5.0,11.41
87,vaitape,100,SN,1579573423,14,13.98,-14.8,72.01,3.58
88,anadyr,96,RU,1579573425,92,51.12,133.02,-6.0,1.52
89,mednogorsk,12,RU,1579573383,88,71.69,128.87,-26.28,3.65
90,albany,100,RU,1579573427,89,54.49,34.98,32.72,15.5
91,moose factory,61,SB,1579573428,69,-8.77,160.7,84.51,7.63
92,koungheul,97,BR,1579573429,84,-30.18,-50.21,76.08,29.35
93,chegdomyn,100,SN,1579573430,83,12.48,-16.55,71.6,2.24
94,tiksi,100,AR,1579573431,41,-38.72,-62.27,70.2,14.5
95,mosalsk,0,KR,1579573432,27,35.24,129.21,39.2,8.05
96,auki,96,IN,1579573433,56,24.03,74.78,56.89,4.5
97,cidreira,100,RU,1579573434,82,50.68,156.12,20.7,5.32
98,oussouye,97,RU,1579573435,97,71.92,114.08,-21.87,7.72
99,bahia blanca,0,AR,1579573437,57,-43.3,-65.1,65.17,15.52
100,kijang,40,US,1579573438,80,40.74,-114.07,30.2,4.45
101,pratapgarh,100,BR,1579573182,73,-23.78,-45.36,74.88,9.31
102,severo-kurilsk,75,BR,1579573440,100,-29.68,-53.81,71.6,4.7
103,saskylakh,100,GL,1579573363,48,69.22,-51.1,19.4,11.41
104,rawson,20,JP,1579573308,39,35.73,140.83,50.0,13.87
105,west wendover,62,RU,1579573443,91,49.93,116.87,-5.89,8.55
106,ilhabela,78,LK,1579573444,85,5.97,80.42,77.79,7.02
107,santa maria,1,PG,1579573368,70,-6.22,155.63,83.97,8.14
108,ilulissat,100,RU,1579573446,98,70.63,147.92,-17.23,8.03
109,hasaki,20,BR,1579573381,83,-5.2,-35.46,78.8,3.36
110,dauriya,75,MU,1579573333,88,-20.41,57.7,80.01,5.73
111,weligama,31,IN,1579573450,65,26.47,92.47,63.43,2.8
112,kieta,87,GH,1579573451,96,5.89,-1.02,74.52,1.48
113,chokurdakh,0,CN,1579573452,44,39.5,106.71,26.6,4.34
114,saleaula,18,NO,1579573284,65,71.04,27.85,33.3,27.94
115,touros,1,US,1579573167,41,37.68,-113.06,42.8,11.41
116,mahebourg,81,RU,1579573455,97,71.97,102.5,-28.25,7.34
117,dhing,99,CK,1579573456,83,-21.21,-159.78,82.4,11.41
118,akim swedru,29,ID,1579573458,61,-0.88,131.25,87.96,6.82
119,wuda,40,VU,1579573308,61,-19.55,169.27,82.4,9.17
120,attawapiskat,20,US,1579573400,75,64.84,-147.72,-9.4,1.81
121,mehamn,21,BR,1579573342,90,-21.64,-41.05,71.76,10.45
122,cedar city,98,RU,1579573462,90,63.28,118.33,-8.09,9.24
123,khatanga,90,US,1579573463,76,71.29,-156.79,-4.0,13.87
124,avarua,90,CA,1579573464,75,70.47,-68.59,-14.8,17.22
125,sorong,90,US,1579573279,67,32.72,-117.16,62.6,3.36
126,isangel,100,NZ,1579573307,73,-46.6,168.33,62.24,5.59
127,fairbanks,20,MX,1579573442,73,21.28,-89.67,72.0,4.7
128,sao joao da barra,100,RU,1579573469,94,52.26,87.12,5.45,3.11
129,nyurba,26,RU,1579573470,96,65.97,78.37,-31.49,4.85
130,barrow,5,RU,1579573391,99,63.05,179.32,-5.46,11.9
131,ayer itam,90,CA,1579573472,54,50.23,-63.6,3.2,9.17
132,clyde river,0,PK,1579573473,63,24.14,67.45,63.48,7.76
133,san diego,90,US,1579573474,76,34.15,-119.2,57.99,4.7
134,bluff,45,MV,1579573476,73,5.1,73.07,83.17,18.01
135,progreso,100,RU,1579573477,96,67.45,153.68,-23.01,11.48
136,turochak,1,US,1579573478,77,45.02,-93.22,10.4,6.93
137,urengoy,100,RU,1579573400,97,66.77,123.37,-23.35,8.57
138,beringovskiy,20,CA,1579573480,75,68.22,-135.01,-20.2,3.36
139,barentsburg,100,VE,1579573481,97,5.66,-67.62,73.62,3.31
140,havre-saint-pierre,0,CN,1579573482,75,32.54,120.45,57.0,1.99
141,keti bandar,31,CN,1579573484,65,18.8,110.4,74.57,8.7
142,port hueneme,100,BR,1579573485,96,-16.65,-41.03,68.7,3.24
143,eydhafushi,75,MU,1579573486,88,-20.21,57.76,80.01,12.62
144,srednekolymsk,11,ID,1579573487,73,-8.11,115.09,83.01,3.27
145,mys shmidta,5,MX,1579573488,83,20.7,-105.2,79.0,8.05
146,saint anthony,5,ZA,1579573445,88,-34.08,18.82,68.0,2.24
147,lugovskiy,90,US,1579573490,87,38.42,-121.42,50.0,5.35
148,zhigansk,34,FO,1579573491,64,62.23,-6.59,39.2,24.16
149,aklavik,0,CN,1579573492,81,30.42,103.46,48.2,2.33
150,puerto ayacucho,100,RU,1579573494,95,56.97,37.51,33.21,12.86
151,haian,29,BO,1579573495,69,-18.95,-57.8,81.64,2.59
152,wanning,90,RU,1579573322,86,59.7,30.79,42.01,13.42
153,joaima,40,IN,1579573497,94,12.63,80.17,77.0,8.19
154,quatre cocos,0,PG,1579573498,77,-4.35,152.26,83.34,16.31
155,singaraja,0,CL,1579573499,67,-45.58,-72.07,62.6,2.24
156,ixtapa,79,CA,1579573500,95,60.75,-137.51,8.71,7.2
157,somerset west,78,RU,1579573501,87,65.58,-171.0,-0.02,2.82
158,laguna,92,IN,1579573502,38,28.02,73.3,56.77,8.28
159,klaksvik,100,NP,1579573504,93,29.27,82.18,27.19,2.26
160,linqiong,5,SA,1579573505,87,18.39,42.45,51.8,9.17
161,chagda,100,GL,1579573506,62,64.18,-51.72,23.0,4.7
162,belyy gorodok,0,LY,1579573507,43,27.04,14.43,49.89,14.27
163,puerto suarez,86,GL,1579573307,36,65.61,-37.64,15.8,2.24
164,nikolskoye,75,PL,1579573509,86,53.7,19.96,33.8,10.29
165,mamallapuram,5,CA,1579573510,67,63.75,-68.51,-25.01,16.11
166,kokopo,93,RU,1579573511,87,58.96,126.29,-9.15,4.88
167,coihaique,29,ZA,1579573513,89,-34.42,19.23,68.0,8.99
168,haines junction,16,SS,1579573514,23,9.53,31.66,66.58,8.19
169,lavrentiya,0,LY,1579573515,66,29.13,15.95,49.5,10.33
170,bikaner,100,MX,1579573516,70,30.48,-115.95,59.52,9.19
171,amderma,100,AU,1579573415,25,-20.73,139.5,96.8,10.29
172,jumla,45,ID,1579573518,86,-0.69,100.95,78.35,2.24
173,faya,100,NZ,1579573309,68,-46.28,169.85,66.0,12.26
174,nuuk,40,AU,1579573322,40,-37.83,140.77,68.0,5.82
175,sabha,40,CO,1579573522,83,10.4,-75.51,78.8,4.7
176,tasiilaq,20,LK,1579573523,100,6.12,81.12,75.2,5.82
177,ostroda,100,RU,1579573291,98,68.75,161.3,-24.81,5.48
178,iqaluit,40,AU,1579573525,62,-24.85,152.35,89.6,12.75
179,tommot,59,RU,1579573526,99,56.49,66.92,-2.92,6.87
180,hermanus,1,US,1579573527,85,45.18,-89.68,12.99,3.36
181,malakal,100,BR,1579573528,95,-6.64,-51.99,72.91,1.52
182,illoqqortoormiut,53,RU,1579573530,97,62.0,132.43,-23.17,1.59
183,hun,1,US,1579573305,84,47.47,-94.88,8.01,6.93
184,san quintin,100,PE,1579573373,88,-13.7,-76.22,71.6,11.41
185,mount isa,20,BR,1579573533,88,-9.67,-35.74,75.2,4.7
186,sijunjung,100,GL,1579573534,80,60.92,-46.05,32.0,21.92
187,kaitangata,100,NZ,1579573535,68,-45.75,170.57,66.0,16.2
188,mount gambier,90,CA,1579573282,84,55.74,-97.86,6.8,6.93
189,cartagena,56,BA,1579573537,73,42.95,18.09,41.0,3.36
190,hambantota,0,CL,1579573538,92,-37.62,-73.65,53.73,5.48
191,cherskiy,75,US,1579573540,57,19.73,-155.09,78.8,10.29
192,bundaberg,100,IR,1579573541,91,35.17,47.8,24.75,2.46
193,novaya zaimka,9,PG,1579573542,74,-3.67,152.43,84.51,17.87
194,merrill,40,MX,1579573543,69,18.73,-103.68,75.2,4.85
195,konigslutter,0,AU,1579573315,65,-24.87,113.63,78.8,23.04
196,sao felix do xingu,0,CL,1579573545,80,-35.33,-72.42,54.19,5.39
197,churapcha,100,NO,1579573327,69,70.37,31.11,37.36,31.85
198,bemidji,100,ZA,1579573547,93,-33.96,22.46,60.8,3.36
199,pisco,100,CA,1579573548,78,50.78,-112.47,36.0,10.0
200,maceio,90,NO,1579573550,89,68.38,17.6,33.8,28.86
201,narsaq,75,PT,1579573359,71,32.67,-17.1,57.2,19.46
202,waitati,0,UY,1579573303,92,-34.48,-54.33,67.28,5.64
203,thompson,100,CA,1579573553,96,54.77,-101.86,7.54,4.61
204,ljubinje,40,AU,1579573554,50,-36.03,146.38,77.0,8.05
205,lebu,100,RE,1579573301,88,-21.36,55.77,77.0,3.36
206,hilo,20,ID,1579573436,59,1.49,124.85,89.6,8.05
207,qorveh,1,US,1579573557,68,36.29,-76.25,36.0,14.94
208,namatanai,98,CN,1579573558,52,34.62,109.7,38.12,5.79
209,coahuayana,0,RU,1579573560,96,62.67,131.17,-24.11,2.21
210,carnarvon,20,JP,1579573339,40,34.67,138.95,59.0,11.41
211,constitucion,0,RU,1579573562,95,58.11,68.32,-8.28,4.09
212,vardo,2,PG,1579573293,74,-2.57,150.8,83.37,11.56
213,george,0,PK,1579573564,49,25.81,66.62,61.61,4.41
214,bassano,75,RU,1579573565,74,55.67,38.01,36.0,8.95
215,beisfjord,99,RU,1579573566,93,65.44,52.15,3.47,8.12
216,ponta do sol,75,JP,1579573567,69,35.18,132.5,46.4,13.87
217,rocha,4,NG,1579573569,45,9.92,8.9,59.07,4.23
218,flin flon,94,IR,1579573499,74,29.11,58.36,44.87,3.18
219,corowa,90,IR,1579573435,86,37.55,45.08,26.6,2.24
220,saint-philippe,100,ZA,1579573335,80,-33.02,27.91,68.13,10.74
221,manado,20,US,1579573334,76,40.6,-124.16,57.0,5.82
222,elizabeth city,0,CU,1579573574,80,20.71,-78.0,77.09,16.33
223,xiaoyi,67,GY,1579573575,98,8.2,-59.78,71.01,2.17
224,borogontsy,20,DE,1579573576,86,54.25,12.47,42.01,11.41
225,shimoda,78,ID,1579573577,78,-6.71,111.08,83.23,7.18
226,sumkino,0,CN,1579573519,51,27.32,103.72,48.92,8.9
227,kavieng,90,CA,1579573580,78,55.1,-105.28,8.6,3.36
228,uthal,75,IS,1579573581,64,63.84,-22.43,37.4,28.86
229,korenevo,90,CA,1579573582,100,54.52,-128.6,28.99,4.7
230,ust-tsilma,100,SY,1579573471,92,35.01,37.05,41.45,11.12
231,oda,75,PT,1579573584,67,38.73,-27.07,60.8,19.53
232,tsihombe,100,IR,1579573585,97,36.67,48.48,13.57,2.84
233,jos,1,US,1579573586,70,44.85,-93.79,8.6,7.31
234,bam,28,TH,1579573588,64,15.75,104.13,77.0,10.29
235,orumiyeh,100,RU,1579573589,89,61.28,108.01,-9.81,10.94
236,east london,20,PH,1579573590,65,14.31,121.11,82.4,11.41
237,fortuna,100,KM,1579573591,80,-11.38,43.28,83.35,24.16
238,santa cruz del sur,40,SB,1579573322,84,-9.43,159.95,86.0,8.05
239,mabaruma,100,RU,1579573593,95,62.85,34.83,39.0,11.5
240,ribnitz-damgarten,100,ID,1579573408,84,4.14,96.13,80.53,8.46
241,karanganyar,0,TR,1579573597,42,36.62,29.12,46.4,24.16
242,zhaotong,1,US,1579573598,72,42.25,-75.83,12.2,5.82
243,la ronge,40,PH,1579573333,58,6.64,122.27,87.8,14.99
244,grindavik,50,SO,1579573324,75,9.49,50.81,75.81,23.4
245,terrace,100,RU,1579573601,90,56.79,105.77,-0.89,11.32
246,salamiyah,20,ID,1579573570,59,-1.27,116.83,89.6,14.99
247,praia da vitoria,0,NG,1579573604,33,12.41,4.49,68.63,8.59
248,zanjan,85,AO,1579573324,81,-15.2,12.15,75.49,11.72
249,waconia,20,PF,1579573606,74,-17.73,-149.15,86.0,16.11
250,lolua,20,EG,1579573607,88,28.42,30.78,45.36,6.85
251,yasothon,30,ID,1579573608,58,-3.8,102.27,88.39,0.29
252,yerbogachen,40,US,1579573609,81,37.46,-122.43,55.4,11.41
253,toliary,0,MR,1579573361,77,20.93,-17.03,60.8,16.11
254,jiddah,0,FR,1579573611,86,47.25,6.02,30.0,5.82
255,santa rosa,60,SO,1579573612,75,7.98,49.82,76.66,23.22
256,mitsamiouli,40,BO,1579573614,88,-17.8,-63.17,80.6,6.93
257,honiara,0,RU,1579573615,53,42.89,133.08,20.93,3.29
258,povenets,90,CA,1579573616,92,47.67,-52.73,24.01,5.82
259,velikie luki,20,ID,1579573617,59,1.3,124.91,89.6,8.05
260,meulaboh,0,VN,1579573618,48,9.18,105.15,89.15,15.21
261,fethiye,100,RU,1579573474,92,53.86,120.88,-9.11,0.56
262,broome,20,JP,1579573620,59,26.12,127.67,66.2,8.05
263,tuburan,97,KZ,1579573621,95,48.83,58.14,17.6,10.76
264,belushya guba,80,RU,1579573622,96,62.1,77.47,-18.08,1.7
265,bandarbeyla,90,BR,1579573567,88,-32.03,-52.1,74.25,15.35
266,ust-kut,0,MX,1579573625,81,22.55,-105.75,71.37,1.66
267,kuche,75,PW,1579573626,70,7.04,134.26,84.2,18.34
268,balikpapan,75,US,1579573365,74,42.92,-112.47,30.2,9.17
269,tari,1,MN,1579573628,76,45.76,106.27,8.76,1.9
270,namibe,20,RU,1579573629,93,54.17,93.3,-6.32,2.73
271,tautira,94,BY,1579573630,86,51.89,26.85,31.64,15.32
272,matay,100,CN,1579573631,81,30.65,113.77,42.8,8.95
